,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
312,buycycle,de,2018,Lapierre,DH 727 | SRAM GX DH,new,Downhill,1,,M,https://buycycle.com/de/bike/dh-727-2,1800 ,3800
313,buycycle,de,2019,Giant,Stance E+ 2 Power | Shimano SLX,new,Trail,1,,XL,https://buycycle.com/de/bike/stance-e-2-power-6,2100 ,3675
314,buycycle,de,2022,CUBE,ACID | SRAM NX Eagle,new,Crosscountry,1,,L,https://buycycle.com/de/bike/acid-2963d18305025f1,1000 ,1099
315,buycycle,de,2021,Canyon,Spectral 6 | Shimano SLX,new,Enduro,1,,L,https://buycycle.com/de/bike/spectral-6-263d17e7c8b59e,2300 ,2799
316,buycycle,de,2019,Scott,Spark RC 900 SL | Shimano XTR,new,Crosscountry,1,,M,https://buycycle.com/de/bike/spark-rc-900-sl-6,4500 ,7999
317,buycycle,de,2021,GT,Zaskar Elite | SRAM NX Eagle,new,Crosscountry,1,,M,https://buycycle.com/de/bike/zaskar-elite-1,1600 ,1499
318,buycycle,de,2016,CUBE,Nutrail | SRAM GX,new,Other,1,,L,https://buycycle.com/de/bike/nutrail,1400 ,2599
319,buycycle,de,2022,Dartmoor,Two6player Pro Pike | Other,Händler,Trail,1,,L,https://buycycle.com/de/bike/two6player-pro-pike-1,1335 ,1483
320,buycycle,de,2016,Rocky Mountain,Thunderbolt 770 MSL | Shimano XTR,Händler,Trail,1,,XL,https://buycycle.com/de/bike/thunderbolt-770-msl-3,1800 ,5499
321,buycycle,de,2022,Dartmoor,Two6player Pro Bomber | Other,Händler,Trail,1,,L,https://buycycle.com/de/bike/two6player-pro-bomber,1278 ,1420
322,buycycle,de,2022,Marin,Rift Zone 2 29 | Shimano Deore,Händler,Trail,1,,L,https://buycycle.com/de/bike/rift-zone-2-29,1755 ,1950
323,buycycle,de,2021,Octane One,OMG | SRAM GX,Händler,Trail,1,,M,https://buycycle.com/de/bike/omg,1678 ,1865
324,buycycle,de,2022,Trek,Procaliber 9.5 | Shimano Deore,new,Crosscountry,1,,M,https://buycycle.com/de/bike/procaliber-95-363d15d7c4354e,1700 ,2099
325,buycycle,de,2020,Orbea,RALLON M10 | SRAM X01 Eagle,new,Enduro,1,,L,https://buycycle.com/de/bike/rallon-m10-21,3500 ,5199
326,buycycle,de,2021,Marin,Rift Zone | Shimano Deore,Händler,Trail,1,,L,https://buycycle.com/de/bike/rift-zone-363d15175eb056,1507 ,1674
327,buycycle,de,2019,Specialized,S-Works Enduro 29 | SRAM GX Eagle,new,Downhill,1,,M,https://buycycle.com/de/bike/s-works-enduro-29-5,4350 ,8820
328,buycycle,de,2022,Dartmoor,Thunderbird CF Pro | Shimano SLX,Händler,Trail,1,,L,https://buycycle.com/de/bike/thunderbird-cf-pro,3963 ,3963
329,buycycle,de,2022,Dartmoor,E-Thunderbird CF | Other Shimano,Händler,Trail,1,,M,https://buycycle.com/de/bike/e-thunderbird-cf,5516 ,5516
330,buycycle,de,2021,Ghost,RIOT Trail Essential | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/riot-trail-essential-5,2300 ,2599
331,buycycle,de,2021,Orbea,ALMA H30 | Shimano Deore,Händler,Crosscountry,1,,M,https://buycycle.com/de/bike/alma-h30-15,849 ,1099
332,buycycle,de,2015,Giant,Reign 27.5 2 | Shimano Deore XT,new,Enduro,1,,M,https://buycycle.com/de/bike/reign-275-2-3,1350 ,3450
333,buycycle,de,2018,Trek,Top Fuel 9.7 | Other,new,Crosscountry,1,,M,https://buycycle.com/de/bike/top-fuel-97-10,1800 ,3999
334,buycycle,de,2012,Canyon,Nerve XC 7.0 | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/nerve-xc-70-1,799 ,2198
335,buycycle,de,2014,Specialized,Enduro EVO | Other SRAM,new,Downhill,1,,M,https://buycycle.com/de/bike/enduro-evo-7,899 ,2400
336,buycycle,de,2018,Mondraker,Prime | SRAM GX,Händler,Crosscountry,1,,S,https://buycycle.com/de/bike/prime-5,1599 ,2499
337,buycycle,de,2022,Trek,Procaliber 9.8 | Shimano Deore XT,new,Crosscountry,1,,M,https://buycycle.com/de/bike/procaliber-98-263d0d95b297c2,4000 ,4249
338,buycycle,de,2022,Trek,E-Caliber 9.9 XTR | Shimano XTR,new,Crosscountry,1,,XL,https://buycycle.com/de/bike/e-caliber-99-xtr-1,8000 ,11999
339,buycycle,de,2021,Orbea,ALMA M30 | Shimano Deore XT,new,Crosscountry,1,,L,https://buycycle.com/de/bike/alma-m30-17,1350 ,2299
340,buycycle,de,2020,Trek,Fuel EX 9.8 XT | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/fuel-ex-98-xt-9,3900 ,5999
341,buycycle,de,2021,Trek,Procaliber 9.5 | Shimano Deore,new,Crosscountry,1,,M,https://buycycle.com/de/bike/procaliber-95-363d02c557b700,1350 ,1999
